EDR3,l, b, d, ed, rv, erv, pml, epml, pmb, epmb, pmlpmbcorr, pmem, type
3646887659093749248,337.5026,54.5474,16.4,0.82,191.3,4.458,-3.571,0.101,-0.8023,0.0942,-0.2665,0.0,BHB
1385580540162516736,69.7967,45.0975,18.5,1.054,-416.0,5.215,-1.0768,0.0757,2.1411,0.0659,-0.1484,0.0,BHB
3645630470626653184,336.0409,55.0967,7.9,0.424,-67.901,1.902,-13.4797,0.0392,-2.3005,0.0339,-0.2931,0.0,BHB
1333137988750344704,53.0433,33.1741,16.1,0.842,-346.8,3.515,-2.7654,0.0661,0.836,0.0619,-0.1233,0.0,BHB
4599796281939147264,53.4256,31.9453,22.2,1.226,-339.4,4.58,-1.6892,0.0828,0.6956,0.0699,0.0114,0.0,BHB
4599704472717921792,53.3175,32.1112,16.0,0.84,-244.3,3.744,-1.7412,0.0488,1.1748,0.0437,-0.0802,0.0,BHB
4599387671633830400,52.2398,31.5118,27.8,1.466,-247.7,7.886,-0.7311,0.1037,0.4308,0.0848,0.0083,0.0,BHB
1333466300346898944,54.4069,33.6348,8.7,0.502,-302.598,2.714,-8.5301,0.0324,0.6155,0.0311,-0.0282,0.0,BHB
1333558418805121280,54.5377,33.503,20.5,1.121,-97.2,4.875,-0.7377,0.0758,1.1938,0.0728,-0.0747,0.0,BHB
1309324942010937344,52.9747,33.6257,18.4,0.999,-291.1,4.346,-0.957,0.0785,1.4805,0.0637,0.0119,0.0,BHB
1333414795099027456,54.3189,33.4969,7.4,0.397,-153.399,2.15,-7.544,0.0259,1.664,0.0213,-0.0592,0.0,BHB
1333158437090778112,53.1909,33.3918,25.2,1.335,-276.6,5.498,-1.7744,0.1076,0.7796,0.102,-0.1874,0.0,BHB
3729358001908633088,310.8186,68.6494,20.0,1.03,-4.1,6.126,-1.7214,0.1146,-2.2425,0.1032,-0.3654,0.0,BHB
1351278732313762304,60.2384,38.1073,24.0,1.273,-283.1,5.027,-1.7789,0.0968,-1.0388,0.0701,0.0449,0.0,BHB
1351673663146609920,60.9075,37.7652,21.0,1.104,-71.2,4.536,-1.0253,0.0862,1.4976,0.0731,-0.1586,0.0,BHB
1351207087963787008,59.6885,38.764,36.7,1.992,-136.2,9.748,-0.5458,0.1507,1.0444,0.1244,-0.0827,0.0,BHB
1339219559362658304,59.5124,37.9406,24.8,1.366,-59.8,5.449,-2.4194,0.0983,2.6166,0.0704,-0.0094,0.0,BHB
1339541510110102016,59.6821,36.9843,21.1,1.188,-200.6,4.806,-1.2584,0.0936,-0.3707,0.0743,-0.1204,0.0,BHB
4231284720687908864,47.1497,-23.9205,17.7,0.983,-226.4,4.647,-1.9336,0.0793,-1.45,0.089,-0.309,0.0,BHB
1607474317497669632,94.9591,54.382,29.3,1.638,-82.9,10.964,-0.5657,0.1169,1.8859,0.1158,-0.0693,0.0,BHB
1610776327010535424,97.1025,54.2305,12.0,0.693,-291.299,3.701,-2.6392,0.0386,6.6283,0.0395,-0.0406,0.0,BHB
3658294989152779264,330.4584,57.5263,8.9,0.507,150.199,2.186,-3.1911,0.0508,1.587,0.0442,-0.3543,0.0,BHB
3658911879600534528,331.2637,57.964,16.4,0.866,-93.7,4.519,-1.9374,0.0899,-2.1885,0.0715,-0.3105,0.0,BHB
3658969092859703296,330.767,58.262,19.4,1.104,-55.8,4.887,-1.8912,0.1167,-1.5042,0.0965,-0.3986,0.0,BHB
3661611661682749440,330.1917,58.4898,21.7,1.131,74.8,4.828,-2.0258,0.125,-0.7383,0.1082,-0.2566,0.0,BHB
3658276744131704832,330.4434,57.3075,15.0,0.853,48.6,3.475,-3.2406,0.0783,-1.7524,0.0694,-0.3641,0.0,BHB
4575284078947355648,51.3336,31.3664,14.1,0.834,-236.5,3.607,-1.7822,0.0505,2.1777,0.0397,-0.0332,0.0,BHB
4599315520479931392,51.7791,31.2597,14.7,0.778,-196.5,4.351,-2.8041,0.062,1.6131,0.0471,0.0955,0.0,BHB
1548813314868957696,137.4958,63.3805,11.9,0.624,111.101,3.519,0.8697,0.0261,3.9246,0.0323,0.358,0.0,BHB
3661513633349362688,327.2254,58.6684,24.6,1.312,141.1,5.975,-2.0115,0.1346,-0.4996,0.1014,-0.4414,0.0,BHB
860248414284394624,147.331,53.3186,28.1,1.488,-88.7,7.796,1.2012,0.0908,0.2416,0.0906,0.2302,0.0,BHB
860207594915401728,148.4831,53.3772,31.2,1.859,-138.1,9.279,1.4965,0.089,0.9266,0.0908,0.0581,0.0,BHB
3637503842747059712,323.3153,58.2144,12.6,0.645,200.6,3.667,-1.8959,0.059,1.0519,0.0498,-0.4401,0.0,BHB
3661438252378355712,327.9507,58.1222,11.2,0.604,-105.399,2.654,-2.0462,0.0608,-4.7136,0.0487,-0.5267,0.0,BHB
3658434794633126912,327.8501,58.043,15.9,0.823,-3.4,4.484,-1.5023,0.1171,-0.7994,0.0765,-0.6244,0.0,BHB
3661548542843310080,328.1003,58.7879,14.8,0.798,118.9,3.338,-4.6073,0.0951,-3.0861,0.0712,-0.4616,0.0,BHB
3658453829927828992,328.2576,57.9494,28.6,1.506,130.9,9.865,-1.4573,0.1975,-0.1926,0.1501,-0.3877,0.0,BHB
6339732682243419136,354.5313,46.6496,13.1,0.68,17.999,4.052,-5.4095,0.0651,2.015,0.0659,-0.143,0.0,BHB
3708967837945325056,300.9947,68.9367,19.8,1.118,196.3,5.197,-1.2863,0.1322,-3.8307,0.0876,-0.1621,0.0,BHB
3704202210953168896,299.1866,67.2373,14.6,0.863,171.4,3.9,-1.9488,0.075,-2.5651,0.0681,-0.4506,0.0,BHB
3705379719187229696,303.6485,66.8734,16.0,0.887,59.9,3.699,-3.3348,0.0848,-3.2595,0.0723,-0.3585,0.0,BHB
6340755983971482624,356.7386,47.4492,14.6,0.864,-109.9,3.671,-4.0169,0.0705,0.4843,0.0718,-0.1685,0.0,BHB
6339714432926812160,355.3354,46.3087,22.2,1.183,108.2,5.998,-2.9529,0.1553,0.1911,0.1401,-0.022,0.0,BHB
3661796005974254080,325.7059,59.3959,20.7,1.064,23.0,5.916,-2.0848,0.1205,-0.9824,0.0958,-0.5379,0.0,BHB
4404354963365319680,5.7391,39.9249,10.3,0.518,-153.2,2.164,-3.6234,0.0403,-1.325,0.0475,-0.229,0.0,BHB
1310526433342388224,54.7904,35.5775,18.9,1.091,-193.5,3.823,-1.4089,0.0622,1.38,0.0584,-0.1006,0.0,BHB
4416412242235154432,5.957,40.7131,7.2,0.4,36.301,1.864,-12.0614,0.0324,-3.2634,0.036,-0.273,0.0,BHB
1334418168178702336,55.6515,34.1761,10.9,0.586,-215.499,2.148,-3.3462,0.0324,0.2384,0.0322,-0.1444,0.0,BHB
4416039473432987136,4.6088,41.1003,32.6,1.751,-11.2,10.783,-0.954,0.2326,-0.0203,0.248,0.0738,0.0,BHB
4404202268691434496,6.4789,39.1697,14.2,0.707,44.5,3.034,-3.7265,0.0738,-0.1671,0.0762,-0.1297,0.0,BHB
4404275076973511680,5.4365,39.4973,10.7,0.569,191.1,2.629,-8.6602,0.0443,1.8632,0.05,-0.2338,0.0,BHB
4403647530712004608,4.3197,39.2981,9.1,0.484,112.3,5.096,-6.7263,0.0379,3.6149,0.0489,-0.2403,0.0,BHB
4403986661330598400,5.2608,38.7819,6.5,0.361,23.0,3.941,-4.4185,0.0446,-1.22,0.0469,-0.2482,0.0,BHB
1334422016469443072,55.4617,34.4447,22.2,1.207,-324.2,4.332,-1.0416,0.0921,0.7,0.0781,-0.0611,0.0,BHB
