EDR3,l, b, d, ed, rv, erv, pml, epml, pmb, epmb, pmlpmbcorr, pmem, type, sgrb, r
739116077245645440,203.8056,53.541885,59.76,9.734,161.5,4.465,0.4413,0.1523,-0.6165,0.1805,0.274,0.901,KGiant,0.64,64.66700163143487
3818984039411358720,247.058057,60.552431,41.54,6.392,11.8,2.757,-0.4433,0.1784,-1.7995,0.1752,0.2973,0.989,KGiant,12.97,43.916326121386795
3866955937889926656,245.877854,60.392736,35.13,8.156,31.9,4.089,-0.1081,0.1931,-1.8036,0.1926,0.2174,0.966,KGiant,12.85,37.71316215858861
3975407989577915904,238.024351,74.586997,35.45,4.354,-58.9,1.838,0.2852,0.0652,-1.7899,0.0665,0.2721,0.987,KGiant,-0.84,37.560461924742086
3698189355521844736,286.583617,61.670872,36.88,5.776,54.6,2.442,-1.0442,0.1499,-0.9679,0.1155,-0.1233,0.947,KGiant,14.17,36.71134701968861
2447901114113676800,95.165756,-63.860448,20.7,4.295,-137.599,2.698,-2.5609,0.1154,-2.2777,0.0901,-0.2426,0.971,KGiant,-12.66,22.577052509129707
2444756240276182016,95.343712,-64.934361,27.86,3.535,-133.099,1.195,-1.9611,0.079,-2.077,0.0648,-0.0876,0.998,KGiant,-11.58,29.359267702039165
3386349956462757888,186.662926,12.469496,50.35,4.636,-6.2,5.399,0.6198,0.0883,-0.3743,0.1134,0.136,0.96,KGiant,-0.07,58.43917264985876
3303190082418267136,178.367365,-31.757681,37.63,3.472,-121.4,1.83,1.2266,0.0502,-1.0824,0.0558,0.3591,1.0,KGiant,2.62,44.88379328889215
669941613151058816,202.887928,22.910685,20.45,2.252,-15.4,1.218,2.1389,0.0299,-2.6336,0.0374,0.3575,0.998,KGiant,11.75,27.847648015586522
2464318265824918528,161.437533,-68.750602,28.03,5.965,-103.9,4.015,1.0293,0.0768,-2.4497,0.0616,0.4306,0.989,KGiant,4.8,31.821469167843272
2464002916441827840,159.753423,-69.096634,17.23,2.207,-98.499,1.693,1.1517,0.0449,-2.9337,0.0428,0.2837,0.958,KGiant,4.41,21.46501106452079
2465547798998228480,156.199968,-67.800489,24.05,3.541,-101.1,1.991,0.7951,0.067,-2.2845,0.0727,0.3025,0.997,KGiant,2.64,27.999617854535085
2465591401506299904,157.750962,-67.328255,31.1,4.4,-107.1,1.78,0.8181,0.064,-2.2675,0.0565,0.4094,0.999,KGiant,2.92,34.913328400483394
2363868777593187840,98.831516,-81.00491,22.37,1.869,174.8,1.667,-0.8963,0.0328,-2.4006,0.0269,0.2232,0.998,KGiant,4.51,24.015844769651554
2363796622142353920,90.212668,-80.00002,28.38,1.787,-73.399,0.773,-2.2493,0.0316,-1.9881,0.0261,-0.053,1.0,KGiant,3.49,29.54748212623201
2364090878941309952,101.863379,-80.178728,24.11,1.986,-87.599,0.805,-1.9972,0.0336,-2.4669,0.0372,0.3341,1.0,KGiant,3.75,25.748704821796377
2470762267253473792,145.555058,-71.460643,21.7,2.274,-104.799,1.427,0.2104,0.04,-2.8934,0.0277,0.6984,0.999,KGiant,1.71,25.15594760687818
2472200428461923328,141.682705,-70.690581,30.09,2.632,-113.0,1.037,0.2638,0.0639,-2.6088,0.0712,0.4948,1.0,KGiant,0.27,33.20328146433723
2465548073876134912,156.097341,-67.80293,25.22,2.946,-119.5,1.378,0.6997,0.0412,-2.3377,0.0378,0.339,0.999,KGiant,2.61,29.12150579897956
2507551032965014016,157.531771,-58.15421,20.82,2.061,-153.499,1.107,0.9118,0.0345,-2.9937,0.0299,0.2877,1.0,KGiant,-1.63,25.882776126219536
2507500661588405248,156.928488,-58.412149,21.61,2.316,-171.1,1.04,0.9169,0.0431,-2.3728,0.0423,0.2158,0.995,KGiant,-1.78,26.60079134161238
2507690911459722240,155.434987,-58.711918,21.24,2.43,-137.1,1.09,0.7512,0.0548,-2.0906,0.0421,0.43,0.926,KGiant,-2.3,26.179980901444523
2505880050168681472,157.194093,-59.448246,20.02,2.504,-169.1,1.187,1.0931,0.0377,-2.4918,0.038,0.3208,0.984,KGiant,-1.14,24.985797966044633
3890557813973771264,222.673136,56.257064,27.53,1.832,-17.1,0.806,0.6361,0.0583,-2.1401,0.0491,0.402,1.0,KGiant,8.4,31.85396207695363
731429842428043648,203.480696,64.667748,21.14,3.213,-135.4,1.513,1.3918,0.0409,-2.1394,0.0349,0.3873,0.993,KGiant,-4.0,25.59022469616084
732971598248231936,202.325648,65.323406,25.12,2.726,-84.2,0.876,1.4983,0.0304,-2.0548,0.0303,0.2987,0.996,KGiant,-4.71,29.3669882691433
2470671798062303232,145.2689,-71.952072,20.19,5.472,-124.599,3.149,0.2942,0.1328,-3.5732,0.1271,0.41,0.974,KGiant,1.96,23.681133841098067
2470726223887875584,145.03833,-71.860179,16.99,3.999,-100.099,2.139,0.3859,0.0614,-3.1666,0.0575,0.3695,0.94,KGiant,1.85,20.707604883230704
2470613107333318144,143.862771,-72.434336,26.74,6.176,-107.199,3.494,0.2727,0.1977,-2.9822,0.2235,0.3722,0.979,KGiant,1.96,29.841273431273002
2470583665333419008,143.008083,-72.705032,25.96,3.414,-101.399,1.75,0.3032,0.0771,-3.0505,0.0875,0.3974,0.999,KGiant,1.95,29.04614948663592
2470630806894478336,143.18209,-72.332078,32.2,5.69,-118.099,3.328,-0.0635,0.129,-2.7477,0.1659,0.3708,0.995,KGiant,1.73,35.12287716005054
2471407062103862272,142.008547,-72.040731,20.47,3.805,-96.099,2.048,0.1142,0.1282,-2.6977,0.1441,0.3437,0.983,KGiant,1.27,23.856625913988758
